MEDITERRANEAN AVE.,1,0,60,2,10,30,90,160,250,30,50
BALTIC AVE.,3,0,60,4,20,60,180,320,450,30,50
ORIENTAL AVE.,6,1,100,6,30,90,270,400,550,50,50
VERMONT AVE.,8,1,100,6,30,90,370,400,550,50,50
CONNECTICUT AVE.,9,1,120,8,40,100,300,450,600,60,50
ST. CHARLES PLACE,11,2,140,10,50,150,450,625,750,70,100
STATES AVE.,13,2,140,10,50,150,450,625,750,70,100
VIRGINIA AVE.,14,2,160,12,60,180,500,700,900,80,100
ST. JAMES PLACE,16,3,180,14,70,200,550,750,950,90,100
TENNESSEE AVE.,18,3,180,14,70,200,550,750,950,90,100
NEW YORK AVE.,19,3,200,16,80,220,600,800,1000,100,100
KENTUCKY AVE.,21,4,220,18,90,250,700,875,1050,110,150
INDIANA AVE.,23,4,220,18,90,250,700,875,1050,110,150
ILLINOIS AVE.,24,4,240,20,100,300,750,925,1100,120,150
ATLANTIC AVE.,26,5,260,22,110,330,800,975,1150,130,150
VENTNOR AVE.,27,5,260,22,110,330,800,975,1150,130,150
MARVIN GARDENS,29,5,280,24,120,360,850,1025,1200,140,150
PACIFIC AVE.,31,6,300,26,130,390,900,1100,1275,150,200
NO. CAROLINA AVE.,32,6,300,26,130,390,900,1100,1275,150,200
PENNSYLVANIA AVE.,34,6,320,28,150,450,1000,1200,1400,160,200
PARK PLACE,37,7,350,35,175,500,1100,1300,1500,175,200
BOARDWALK,39,7,400,50,200,600,1400,1700,2000,200,200
